iter	Passed	Remaining
407	5350	20879
408	5364	20866
409	5376	20850
410	5388	20832
411	5401	20818
412	5413	20802
413	5426	20788
414	5438	20772
415	5450	20755
416	5463	20740
417	5476	20725
418	5488	20709
419	5500	20692
420	5513	20678
421	5526	20665
422	5539	20653
423	5543	20606
424	5556	20590
425	5563	20557
426	5576	20541
427	5588	20526
428	5601	20511
429	5613	20494
430	5625	20478
431	5637	20463
432	5650	20449
433	5663	20435
434	5675	20419
435	5688	20406
436	5701	20391
437	5713	20375
438	5726	20362
439	5739	20349
440	5752	20335
441	5764	20320
442	5776	20303
443	5789	20288
444	5801	20272
445	5813	20255
446	5825	20241
447	5837	20224
448	5849	20207
449	5862	20191
450	5874	20177
451	5882	20146
452	5894	20131
453	5908	20118
454	5920	20102
455	5932	20086
456	5943	20068
457	5956	20055
458	5969	20040
459	5982	20029
460	5996	20017
461	6008	20000
462	6020	19984
463	6031	19967
464	6044	19952
465	6057	19939
466	6069	19924
467	6082	19910
468	6094	19895
469	6100	19857
470	6112	19842
471	6125	19828
472	6137	19814
473	6149	19797
474	6160	19778
475	6172	19762
476	6186	19751
477	6198	19736
478	6210	19722
479	6224	19709
480	6236	19694
481	6248	19679
482	6259	19660
483	6272	19645
484	6285	19632
485	6297	19619
486	6310	19604
487	6322	19590
488	6334	19574
489	6347	19559
490	6359	19544
491	6371	19528
492	6383	19512
493	6395	19498
494	6408	19484
495	6421	19470
496	6433	19455
497	6445	19440
498	6457	19425
499	6465	19396
500	6477	19380
501	6481	19341
502	6493	19325
503	6505	19309
504	6516	19291
505	6525	19267
506	6538	19253
507	6551	19241
508	6563	19227
509	6576	19214
510	6589	19201
511	6602	19187
512	6614	19172
513	6627	19160
514	6639	19145
515	6652	19132
516	6664	19117
517	6676	19101
518	6683	19070
519	6694	19053
520	6700	19021
521	6712	19006
522	6725	18993
523	6738	18980
524	6751	18967
525	6763	18954
526	6775	18939
527	6787	18923
528	6800	18909
529	6812	18895
530	6824	18880
531	6837	18866
532	6849	18852
533	6862	18838
534	6874	18824
535	6886	18808
536	6898	18793
537	6909	18776
538	6921	18760
539	6934	18747
540	6946	18734
541	6958	18719
542	6971	18705
543	6983	18691
